#,Unnamed: 1
"""Местное время в Мурманске"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""13.05.2023 00:00"";""6.2"";""763.3"";""768.0"";""1.1"";""78"";""Ветер, дующий с северо-северо-запада"";""4"";""6"";""8"";""100%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""2.6"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 21:00"";""6.9"";""762.2"";""766.9"";""1.2"";""75"";""Ветер, дующий с северо-запада"";""4"";""7"";""10"";""100%."";"" "";"""";"""";"""";""8.9"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""50.0"";""2.7"";""0.3"";""12"";"""";"""";"""";""""",
"""12.05.2023 18:00"";""8.0"";""761.0"";""765.7"";""1.3"";""70"";""Ветер, дующий с северо-запада"";""4"";""7"";""9"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""50.0"";""2.9"";""3.0"";""12"";"""";"""";"""";""""",
"""12.05.2023 15:00"";""6.9"";""759.7"";""764.3"";""1.8"";""77"";""Ветер, дующий с северо-запада"";""4"";""7"";""11"";""90  или более, но не 100%"";""Ливневый(ые) дождь(и). "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""600-1000"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""3.1"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 12:00"";""7.5"";""757.9"";""762.7"";""1.8"";""81"";""Ветер, дующий с северо-северо-запада"";""5"";""9"";""11"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""50.0"";""4.5"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 09:00"";""5.5"";""756.1"";""760.7"";""0.4"";""92"";""Ветер, дующий с северо-востока"";""1"";""2"";""5"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""4.3"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";"""";""10.0"";""4.3"";""3.0"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""Снежный покров не постоянный.""",
"""12.05.2023 06:00"";""4.8"";""755.7"";""760.4"";""-0.5"";""89"";""Ветер, дующий с юга"";""2"";""3"";""5"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""4.3"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""3.1"";""0.9"";""12"";"""";"""";"""";""""",
"""12.05.2023 03:00"";""4.5"";""756.2"";""760.9"";""-0.6"";""85"";""Ветер, дующий с юго-юго-запада"";""3"";""4"";""5"";""90  или более, но не 100%"";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""600-1000"";""Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""2.1"";"""";"""";"""";"""";"""";""""",
"""12.05.2023 00:00"";""8.3"";""756.8"";""761.5"";""-0.2"";""72"";""Ветер, дующий с юго-юго-запада"";""3"";""3"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""10.0"";""3.4"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 21:00"";""10.0"";""757.0"";""761.6"";""-0.1"";""65"";""Ветер, дующий с юго-запада"";""1"";""2"";"""";""100%."";"" "";"""";"""";"""";""11.3"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""3.6"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""11.05.2023 18:00"";""10.6"";""757.1"";""761.7"";""0.4"";""62"";""Ветер, дующий с северо-запада"";""2"";""2"";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""90  или более, но не 100%"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""3.5"";""0.3"";""12"";"""";"""";"""";""""",
"""11.05.2023 15:00"";""10.1"";""756.7"";""761.2"";""0.6"";""64"";""Ветер, дующий с севера"";""3"";""4"";""7"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях."";""40%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""50.0"";""3.6"";"""";"""";"""";"""";"""";""""",
