#,Unnamed: 1
"""Местное время на Мысе Болванский"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'""","""sss"""
"""08.05.2023 18:00"";""-1.0"";""755.2"";""756.4"";""-1.0"";""99"";""Ветер, дующий с юго-запада"";""6"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-1.1"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 15:00"";""-2.3"";""756.2"";""757.4"";""-1.2"";""96"";""Ветер, дующий с юго-запада"";""8"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-2.8"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 12:00"";""-4.2"";""757.4"";""758.6"";""-1.1"";""94"";""Ветер, дующий с юго-запада"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-5.0"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 09:00"";""-6.6"";""758.5"";""759.8"";""-1.2"";""88"";""Ветер, дующий с юга"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.3"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 06:00"";""-8.0"";""759.7"";""760.9"";""-1.3"";""94"";""Ветер, дующий с запада"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.8"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 03:00"";""-11.7"";""761.0"";""762.3"";""-1.0"";""93"";""Ветер, дующий с юга"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-12.6"";"""";"""";"""";"""";"""";""""",
"""08.05.2023 00:00"";""-8.3"";""762.0"";""763.2"";""-1.1"";""91"";""Ветер, дующий с востока"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-9.5"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 21:00"";""-7.6"";""763.1"";""764.4"";""-0.9"";""90"";""Ветер, дующий с востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-9.0"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 18:00"";""-7.0"";""764.0"";""765.3"";""-0.2"";""89"";""Ветер, дующий с востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.5"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 15:00"";""-5.5"";""764.2"";""765.5"";""-0.3"";""85"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.6"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 12:00"";""-6.2"";""764.5"";""765.8"";""-0.3"";""93"";""Ветер, дующий с северо-северо-востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.1"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 09:00"";""-5.4"";""764.8"";""766.1"";""-0.8"";""86"";""Ветер, дующий с севера"";""2"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.4"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 06:00"";""-5.7"";""765.6"";""766.8"";""-0.5"";""89"";""Ветер, дующий с северо-северо-востока"";""2"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.2"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 03:00"";""-7.1"";""766.1"";""767.4"";""-0.8"";""91"";""Ветер, дующий с юго-запада"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.3"";"""";"""";"""";"""";"""";""""",
"""07.05.2023 00:00"";""-7.2"";""766.9"";""768.1"";""-0.6"";""89"";""Ветер, дующий с юго-запада"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.7"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 21:00"";""-8.4"";""767.5"";""768.7"";""-0.3"";""92"";""Ветер, дующий с юго-юго-запада"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-9.5"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 18:00"";""-6.3"";""767.8"";""769.0"";""0.0"";""86"";""Ветер, дующий с юго-юго-запада"";""3"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.3"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 15:00"";""-5.8"";""767.8"";""769.1"";""0.3"";""86"";""Ветер, дующий с западо-юго-запада"";""2"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-7.8"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 12:00"";""-6.0"";""767.5"";""768.7"";""0.5"";""86"";""Ветер, дующий с юго-запада"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.0"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 09:00"";""-6.5"";""767.0"";""768.2"";""0.7"";""89"";""Ветер, дующий с запада"";""1"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.0"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 06:00"";""-7.2"";""766.3"";""767.6"";""0.9"";""93"";""Ветер, дующий с востоко-северо-востока"";""2"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.1"";"""";"""";"""";"""";"""";""""",
"""06.05.2023 03:00"";""-7.4"";""765.4"";""766.6"";""1.2"";""93"";""Ветер, дующий с северо-северо-востока"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-8.3"";"""";"""";"""";"""";"""";""""",
