#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""11.05.2023 09:00"";""-2.6"";""767.0"";"""";"""";""91"";""Ветер, дующий с юго-востока"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 06:00"";""-4.2"";""768.0"";"""";"""";""95"";""Ветер, дующий с юга"";""4"";"""";"""";""100%."";"" "";"""";"""";""-10.2"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""95.0""",,,,,,
"""11.05.2023 03:00"";""-10.0"";""769.0"";"""";"""";""92"";""Ветер, дующий с юга"";""5"";"""";"""";""50%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 00:00"";""-9.1"";""769.0"";"""";"""";"""";""Ветер, дующий с юго-запада"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 21:00"";""-7.1"";""769.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""4"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 18:00"";""-3.8"";""768.5"";""769.3"";"""";""91"";""Ветер, дующий с юго-запада"";""4"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";""-1.0"";"""";"""";"""";"""";"""";""20.0"";""-5.0"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""10.05.2023 15:00"";""-1.8"";""768.0"";"""";"""";""86"";""Ветер, дующий с запада"";""3"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 12:00"";""-1.7"";"""";"""";"""";"""";""Ветер, дующий с севера"";""6"";"""";"""";"""";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 09:00"";""-1.8"";""765.0"";"""";"""";""90"";""Ветер, дующий с севера"";""1"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 06:00"";""-1.0"";""763.0"";"""";"""";""96"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";"" "";"""";"""";""-2.2"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""96.0""",,,,,,
"""10.05.2023 03:00"";""-1.6"";""761.0"";"""";"""";""91"";""Ветер, дующий с севера"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 00:00"";""-1.8"";""759.0"";"""";"""";""93"";""Ветер, дующий с северо-запада"";""10"";""11"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,
