#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"""Местное время в Усть-Каре"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,,,
"""25.04.2023 00:00"";""-3.2"";""753.0"";"""";"""";""89"";""Ветер, дующий с запада"";""7"";""13"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""24.04.2023 21:00"";""-2.5"";""753.0"";"""";"""";""84"";""Ветер, дующий с запада"";""11"";""13"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""24.04.2023 18:00"";""-2.3"";""753.0"";"""";"""";""91"";""Ветер, дующий с запада"";""8"";""13"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";""-0.8"";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""24.04.2023 15:00"";""-1.4"";""753.0"";"""";"""";""90"";""Ветер, дующий с запада"";""10"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""24.04.2023 12:00"";""-1.6"";""752.0"";"""";"""";""88"";""Ветер, дующий с запада"";""10"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""24.04.2023 09:00"";""-3.7"";""750.7"";""751.1"";"""";""88"";""Ветер, дующий с западо-юго-запада"";""7"";"""";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-6.2"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.4"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""24.04.2023 06:00"";""-5.9"";""750.0"";"""";"""";""91"";""Ветер, дующий с запада"";""9"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-5.9"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""0.2"";""12"";"""";"""";"""";""65.0""",,,,,,,,
"""24.04.2023 03:00"";""-4.6"";""749.0"";"""";"""";""91"";""Ветер, дующий с запада"";""9"";""14"";"""";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""24.04.2023 00:00"";""-4.4"";""748.0"";"""";"""";""94"";""Ветер, дующий с запада"";""11"";""14"";"""";""100%."";""Слабая или умеренная снежная низовая метель в целом высокая (выше уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""23.04.2023 21:00"";""-0.6"";""747.0"";"""";"""";""92"";""Ветер, дующий с юго-запада"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""23.04.2023 18:00"";""0.2"";""746.0"";"""";"""";""91"";""Ветер, дующий с юга"";""6"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""2.0"";"""";"""";"""";"""";"""";""10.0"";"""";""0.7"";""12"";"""";"""";"""";""""",,,,,,,,
"""23.04.2023 15:00"";""1.4"";""745.0"";"""";"""";""92"";""Ветер, дующий с юго-востока"";""7"";""12"";"""";""90  или более, но не 100%"";""Ливневый(ые) дождь(и). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""23.04.2023 12:00"";""2.0"";""746.0"";"""";"""";""85"";""Ветер, дующий с юго-востока"";""9"";""12"";"""";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""23.04.2023 09:00"";""-1.1"";""747.0"";"""";"""";""92"";""Ветер, дующий с востока"";""5"";""10"";"""";""90  или более, но не 100%"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-3.0"";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""23.04.2023 06:00"";""-2.7"";""749.0"";"""";"""";""94"";""Ветер, дующий с востока"";""7"";""10"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-2.9"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""69.0""",,,,,,,,
"""23.04.2023 03:00"";""-1.2"";""751.0"";"""";"""";""93"";""Ветер, дующий с юго-востока"";""9"";""12"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""23.04.2023 00:00"";""-1.9"";""752.0"";"""";"""";""90"";""Ветер, дующий с юго-востока"";""9"";""12"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""22.04.2023 21:00"";""-1.3"";""754.0"";"""";"""";""84"";""Ветер, дующий с востока"";""6"";""10"";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""22.04.2023 18:00"";""-2.4"";""755.0"";"""";"""";""86"";""Ветер, дующий с востока"";""8"";"""";"""";""100%."";"" "";"""";"""";"""";""-0.9"";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""22.04.2023 15:00"";""-1.1"";""756.0"";"""";"""";""93"";""Ветер, дующий с востока"";""4"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""22.04.2023 12:00"";""-1.6"";""756.0"";"""";"""";""88"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""22.04.2023 09:00"";""-2.1"";""755.0"";"""";"""";""89"";""Ветер, дующий с юга"";""3"";"""";"""";""60%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""22.04.2023 06:00"";""-3.0"";""755.0"";"""";"""";""93"";""Ветер, дующий с юга"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""-7.8"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""69.0""",,,,,,,,
"""22.04.2023 03:00"";""-4.0"";""755.0"";"""";"""";""95"";""Ветер, дующий с юга"";""4"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""22.04.2023 00:00"";""-6.7"";""755.0"";"""";"""";""95"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""21.04.2023 21:00"";""-4.0"";""755.0"";"""";"""";""95"";""Ветер, дующий с юга"";""4"";"""";"""";""60%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""21.04.2023 18:00"";""-5.3"";""755.0"";"""";"""";""92"";""Ветер, дующий с юга"";""3"";"""";"""";""50%."";"" "";"""";"""";"""";""-0.1"";"""";"""";"""";"""";"""";""10.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""21.04.2023 15:00"";""-0.7"";""755.0"";"""";"""";""91"";""Ветер, дующий с юга"";""5"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""21.04.2023 12:00"";""-1.4"";""754.0"";"""";"""";""87"";""Ветер, дующий с юга"";""3"";"""";"""";""70 – 80%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""21.04.2023 09:00"";""-1.0"";""753.8"";""754.1"";"""";""93"";""Ветер, дующий с юга"";""4"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-",лоист,х нет.,"""4.0"";""-2.0"";""","""""","""","""","""",""""
"""21.04.2023 06:00"";""-2.7"";""753.7"";""754.1"";"""";""96"";""Ветер, дующий с юга"";""4"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-4.4"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""300-600"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоист",ми ил, слоис,"о-дождевыми."";""","""4.","""",-3,"2""","""0"
"""21.04.2023 03:00"";""-2.9"";""754.0"";""754.3"";"""";""97"";""Ветер, дующий с юга"";""5"";"""";"""";""90  или более, но не 100%"";""Снег непрерывный слабый в срок наблюдения. "";""Ливень (ливни)."";""Снег и/или другие виды твердых осадков"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""300-600"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";""Перистых, пер",сто-к,чевых ,ли перисто-слои,тых ,ет,"""",4.,""""
"""21.04.2023 00:00"";""-2.3"";""754.0"";"""";"""";""97"";""Ветер, дующий с юга"";""5"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""20.04.2023 21:00"";""-0.8"";""754.0"";"""";"""";""95"";""Ветер, дующий с юго-запада"";""7"";""10"";"""";""70 – 80%."";""Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""20.04.2023 18:00"";""-1.6"";""755.0"";"""";"""";""90"";""Ветер, дующий с юга"";""5"";""12"";"""";""40%."";"" "";"""";"""";"""";""1.0"";"""";"""";"""";"""";"""";""20.0"";"""";""0.4"";""12"";"""";"""";"""";""""",,,,,,,,
"""20.04.2023 15:00"";""1.0"";""755.4"";""755.7"";"""";""90"";""Ветер, дующий с юго-юго-запада"";""6"";"""";""12"";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Буря"";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";"""";""10.0"";""-0.4"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""20.04.2023 12:00"";""-1.1"";""756.0"";"""";"""";""92"";""Ветер, дующий с юга"";""7"";""12"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""20.04.2023 09:00"";""-3.1"";""756.7"";""757.1"";"""";""93"";""Ветер, дующий с юго-юго-востока"";""9"";""11"";""12"";""90  или более, но не 100%"";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Метель"";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""4.0"";""-4.1"";"""";"""";""""",""""";""""","""""",,,,,,
"""20.04.2023 06:00"";""-4.6"";""758.0"";"""";"""";""93"";""Ветер, дующий с юга"";""10"";""12"";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";""-4.9"";"""";"""";"""";"""";"""";"""";""10.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""64.0""",,,,,,,,
"""20.04.2023 03:00"";""-4.1"";""760.2"";""760.5"";"""";""92"";""Ветер, дующий с юга"";""6"";"""";""10"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";"""";""10.0"";""-5.2"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""20.04.2023 00:00"";""-3.5"";""761.0"";"""";"""";""94"";""Ветер, дующий с юга"";""7"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 21:00"";""-2.9"";""763.0"";"""";"""";""95"";""Ветер, дующий с юга"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 18:00"";""-1.9"";""764.0"";"""";"""";""92"";""Ветер, дующий с юга"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""-1.2"";"""";"""";"""";"""";"""";""10.0"";"""";""0.5"";""12"";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 15:00"";""-1.5"";""765.0"";"""";"""";""93"";""Ветер, дующий с юго-запада"";""7"";""11"";"""";""70 – 80%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 12:00"";""-4.8"";""765.0"";"""";"""";""91"";""Ветер, дующий с юга"";""6"";""11"";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 09:00"";""-8.5"";""766.0"";"""";"""";""89"";""Ветер, дующий с юга"";""6"";""10"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 06:00"";""-9.3"";""769.0"";"""";"""";""90"";""Ветер, дующий с юго-запада"";""7"";"""";"""";""100%."";"" "";"""";"""";""-18.1"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 03:00"";""-13.1"";""769.8"";""770.1"";"""";""88"";""Ветер, дующий с юга"";""5"";"""";""10"";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""-14.7"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""19.04.2023 00:00"";""-17.3"";""772.0"";"""";"""";""84"";""Ветер, дующий с юга"";""5"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 21:00"";""-17.3"";""774.0"";"""";"""";""84"";""Ветер, дующий с юга"";""7"";"""";"""";""40%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 18:00"";""-13.7"";""775.0"";"""";"""";""83"";""Ветер, дующий с юга"";""6"";"""";"""";""20–30%."";"" "";"""";"""";"""";""-10.8"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 15:00"";""-10.8"";""775.0"";"""";"""";""82"";""Ветер, дующий с юга"";""5"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 12:00"";""-13.6"";""776.0"";"""";"""";""86"";""Ветер, дующий с юга"";""5"";"""";"""";""50%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 09:00"";""-16.3"";""776.0"";"""";"""";""85"";""Ветер, дующий с юга"";""4"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 06:00"";""-17.5"";""776.0"";"""";"""";""85"";""Ветер, дующий с юга"";""3"";"""";"""";""70 – 80%."";"" "";"""";"""";""-23.5"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 03:00"";""-20.1"";""774.1"";""774.4"";"""";""83"";""Ветер, дующий с юга"";""1"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-22.2"";"""";"""";"""";"""";"""";""""",,,,,,,,
"""18.04.2023 00:00"";""-22.1"";""774.0"";"""";"""";""82"";""Ветер, дующий с юго-запада"";""1"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 21:00"";""-19.7"";""774.0"";"""";"""";""86"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 18:00"";""-15.5"";""773.0"";"""";"""";""87"";""Ветер, дующий с северо-запада"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";""-11.9"";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 15:00"";""-12.4"";""773.0"";"""";"""";""83"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 12:00"";""-12.4"";""772.0"";"""";"""";""85"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 09:00"";""-18.2"";""772.0"";"""";"""";""83"";""Ветер, дующий с юго-запада"";""2"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 06:00"";""-21.6"";""772.0"";"""";"""";""82"";""Ветер, дующий с юга"";""2"";"""";"""";""Облаков нет."";"" "";"""";"""";""-24.1"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 03:00"";""-24.0"";""772.0"";"""";"""";""80"";""Штиль, безветрие"";""0"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""17.04.2023 00:00"";""-21.1"";""771.0"";"""";"""";""85"";""Ветер, дующий с юго-востока"";""2"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 21:00"";""-16.0"";""771.0"";"""";"""";""85"";""Ветер, дующий с юго-востока"";""1"";"""";"""";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 18:00"";""-13.7"";""771.0"";"""";"""";""84"";""Ветер, дующий с юга"";""2"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""-11.5"";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 15:00"";""-12.2"";""771.0"";"""";"""";""79"";""Штиль, безветрие"";""0"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 12:00"";""-12.4"";""769.0"";"""";"""";""80"";""Штиль, безветрие"";""0"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 09:00"";""-13.7"";""769.0"";"""";"""";""86"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 06:00"";""-14.9"";""768.0"";"""";"""";""85"";""Ветер, дующий с северо-запада"";""6"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";""-15.0"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 03:00"";""-14.1"";""769.0"";"""";"""";""85"";""Ветер, дующий с северо-запада"";""7"";"""";"""";"""";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""16.04.2023 00:00"";""-13.1"";""769.0"";"""";"""";""86"";""Ветер, дующий с северо-запада"";""8"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 21:00"";""-13.0"";""770.0"";"""";"""";""86"";""Ветер, дующий с северо-запада"";""8"";"""";"""";""90  или более, но не 100%"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 18:00"";""-11.5"";""770.0"";"""";"""";""84"";""Ветер, дующий с северо-запада"";""7"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";""-9.4"";"""";"""";"""";"""";"""";""4.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 15:00"";""-10.4"";""769.0"";"""";"""";""81"";""Ветер, дующий с северо-запада"";""1"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 12:00"";""-10.8"";""768.0"";"""";"""";""83"";""Ветер, дующий с северо-запада"";""1"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 09:00"";""-9.6"";""766.0"";"""";"""";""87"";""Ветер, дующий с северо-запада"";""7"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 06:00"";""-12.9"";""765.0"";"""";"""";""88"";""Ветер, дующий с северо-запада"";""5"";"""";"""";""60%."";""Состояние неба в общем не изменилось. "";"""";"""";""-13.4"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 03:00"";""-9.8"";""763.0"";"""";"""";""89"";""Ветер, дующий с севера"";""7"";"""";"""";""10%  или менее, но не 0"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""15.04.2023 00:00"";""-10.9"";""761.0"";"""";"""";""89"";""Ветер, дующий с северо-запада"";""8"";"""";"""";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
