#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
"""Местное время в Усть-Каре"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,,,
"""11.05.2023 21:00"";""-7.7"";""769.0"";"""";"""";""84"";""Ветер, дующий с востока"";""8"";""10"";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""11.05.2023 18:00"";""-7.1"";""769.0"";"""";"""";""88"";""Ветер, дующий с востока"";""8"";""10"";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";""-3.6"";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,,,
"""11.05.2023 15:00"";""-4.8"";""769.0"";"""";"""";""85"";""Ветер, дующий с востока"";""7"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""11.05.2023 12:00"";""-3.7"";""769.0"";"""";"""";""80"";""Ветер, дующий с юго-востока"";""2"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""11.05.2023 09:00"";""-4.1"";""769.0"";"""";"""";""70"";""Ветер, дующий с юга"";""3"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""11.05.2023 06:00"";""-5.3"";""769.0"";"""";"""";""82"";""Ветер, дующий с юга"";""1"";"""";"""";""100%."";"" "";"""";"""";""-7.4"";"""";"""";"""";"""";"""";"""";""20.0"";"""";""Следы осадков"";""12"";"""";"""";"""";""54.0""",,,,,,,,
"""11.05.2023 03:00"";""-6.9"";""769.0"";"""";"""";""92"";""Ветер, дующий с северо-запада"";""1"";"""";"""";""100%."";""Ливневый снег или ливневый дождь и снег. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""11.05.2023 00:00"";""-6.6"";""768.0"";"""";"""";""91"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""10.05.2023 21:00"";""-5.9"";""767.0"";"""";"""";""92"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""10.05.2023 18:00"";""-5.5"";""766.7"";""767.0"";"""";""90"";""Ветер, дующий с северо-северо-запада"";""1"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-3.9"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""""","""4.0""","""-6.9""","""Следы осадков""","""12""","""""","""""","""""",""""""
"""10.05.2023 15:00"";""-5.7"";""766.0"";"""";"""";""88"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";""Ливневый снег слабый в срок наблюдения или за последний час. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""10.05.2023 12:00"";""-6.0"";""764.0"";"""";"""";""88"";""Ветер, дующий с севера"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""20.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""10.05.2023 09:00"";""-5.5"";""762.0"";"""";"""";""95"";""Ветер, дующий с севера"";""5"";"""";"""";""100%."";"" "";"""";"""";""-5.5"";"""";"""";"""";"""";"""";"""";""10.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""10.05.2023 06:00"";""-4.7"";""760.0"";"""";"""";"""";""Ветер, дующий с северо-запада"";""2"";"""";"""";""90  или более, но не 100%"";""Дымка. "";"""";"""";""-5.4"";"""";"""";"""";"""";"""";"""";""2.0"";"""";""Осадков нет"";""12"";"""";"""";"""";""54.0""",,,,,,,,
"""10.05.2023 03:00"";""-4.1"";""759.0"";"""";"""";""96"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""100%."";""Дымка. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""2.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
"""10.05.2023 00:00"";""-4.1"";""758.0"";"""";"""";""97"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""100%."";""Дымка. "";"""";"""";"""";"""";"""";"""";"""";"""";"""";""2.0"";"""";"""";"""";"""";"""";"""";""""",,,,,,,,
