#,Unnamed: 1
"""Местное время на мысе Канин Нос"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",
"""11.05.2023 18:00"";""1.6"";""755.3"";""759.8"";""0.1"";""100"";""Ветер, дующий с юга"";""4"";"""";"""";""Небо не видно из-за тумана и/или других метеорологических явлений."";""Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. "";""Туман или ледяной туман или сильная мгла."";""Туман или ледяной туман или сильная мгла."";"""";"""";"""";"""";"""";"""";"""";""0.5"";""1.6"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 15:00"";""1.8"";""755.2"";""759.7"";""-0.4"";""96"";""Ветер, дующий с юго-юго-востока"";""7"";"""";""13"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""1.2"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 12:00"";""1.1"";""755.6"";""760.1"";""-0.2"";""94"";""Ветер, дующий с юго-юго-востока"";""10"";""12"";""15"";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""0.3"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 09:00"";""0.9"";""755.8"";""760.3"";""-1.1"";""91"";""Ветер, дующий с юго-юго-востока"";""13"";""15"";""17"";""90  или более, но не 100%"";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""1000-1500"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.4"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 06:00"";""0.8"";""756.9"";""761.4"";""-1.8"";""92"";""Ветер, дующий с юго-юго-востока"";""14"";""17"";""18"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""0.1"";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""-0.4"";""2.0"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""62.0""",
"""11.05.2023 03:00"";""0.6"";""758.7"";""763.2"";""-1.5"";""92"";""Ветер, дующий с юго-юго-востока"";""14"";""17"";""17"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""-0.6"";"""";"""";"""";"""";"""";""""",
"""11.05.2023 00:00"";""0.3"";""760.2"";""764.8"";""-0.9"";""92"";""Ветер, дующий с юго-юго-востока"";""14"";""16"";""17"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""600-1000"";"""";"""";""10.0"";""-0.8"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 21:00"";""0.3"";""761.1"";""765.6"";""-0.8"";""86"";""Ветер, дующий с юга"";""12"";""14"";""14"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""-1.8"";"""";"""";"""";"""";"""";""""",
"""10.05.2023 18:00"";""0.5"";""761.9"";""766.5"";""-0.9"";""90"";""Ветер, дующий с юга"";""10"";""11"";""11"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""1000-1500"";""Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются."";"""";""20.0"";""-1.0"";""Осадков нет"";""12"";"""";"""";"""";""""",
"""10.05.2023 15:00"";""0.8"";""762.8"";""767.4"";""-0.2"";""87"";""Ветер, дующий с юго-юго-востока"";""6"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""60%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.2"";"""";"""";"""";"""";"""";""""",
