#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""Местное время на метеостанции им. М.В.Попова"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,
"""12.05.2023 11:00"";""-7.0"";""765.3"";""765.9"";""-1.2"";""87"";""Ветер, дующий с западо-юго-запада"";""8"";""10"";""10"";""90  или более, но не 100%"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""13.0"";""-8.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""12.05.2023 08:00"";""-11.4"";""766.5"";""767.0"";""-1.3"";""87"";""Ветер, дующий с юго-юго-запада"";""7"";"""";"""";""100%."";"" "";"""";"""";""-19.2"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-13.1"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""83.0""",,,,,,
"""12.05.2023 05:00"";""-17.6"";""767.8"";""768.4"";""-0.9"";""86"";""Ветер, дующий с юго-юго-запада"";""5"";"""";"""";""20–30%."";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-19.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""12.05.2023 02:00"";""-17.3"";""768.7"";""769.3"";""-0.3"";""87"";""Ветер, дующий с юго-юго-запада"";""3"";"""";"""";""20–30%."";""Дымка. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""2.2"";""-18.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 23:00"";""-15.4"";""769.0"";""769.6"";""-0.4"";""92"";""Штиль, безветрие"";""0"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""11.0"";""-16.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 20:00"";""-12.7"";""769.4"";""770.0"";""0.1"";""89"";""Ветер, дующий с северо-северо-запада"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";""-8.8"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-14.1"";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""11.05.2023 17:00"";""-9.9"";""769.3"";""769.9"";""0.0"";""86"";""Ветер, дующий с севера"";""3"";"""";"""";""90  или более, но не 100%"";""Ливневый снег или ливневый дождь и снег. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""40%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""17.0"";""-11.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 14:00"";""-9.1"";""769.3"";""769.9"";""0.6"";""80"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""8.0"";""-11.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 11:00"";""-9.6"";""768.7"";""769.3"";""0.3"";""78"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""200-300"";"""";"""";""18.0"";""-12.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 08:00"";""-10.6"";""768.4"";""769.0"";""0.3"";""78"";""Ветер, дующий с запада"";""3"";"""";"""";""100%."";"" "";"""";"""";""-12.2"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-13.7"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""83.0""",,,,,,
"""11.05.2023 05:00"";""-11.6"";""768.1"";""768.7"";""0.5"";""83"";""Ветер, дующий с севера"";""2"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-14.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""11.05.2023 02:00"";""-12.1"";""767.6"";""768.1"";""0.8"";""83"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-14.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 23:00"";""-11.4"";""766.8"";""767.4"";""0.5"";""88"";""Ветер, дующий с севера"";""2"";"""";"""";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""9.0"";""-13.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 20:00"";""-10.5"";""766.3"";""766.9"";""0.6"";""82"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-10.3"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""9.0"";""-13.0"";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""10.05.2023 17:00"";""-10.5"";""765.7"";""766.3"";""1.3"";""81"";""Ветер, дующий с севера"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""17.0"";""-13.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 14:00"";""-10.7"";""764.4"";""765.0"";""1.0"";""79"";""Ветер, дующий с севера"";""4"";"""";"""";""100%."";""Снег неливневый. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-13.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 11:00"";""-10.6"";""763.4"";""763.9"";""0.6"";""81"";""Ветер, дующий с севера"";""3"";"""";"""";""100%."";""Снег неливневый. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""17.0"";""-13.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 08:00"";""-10.8"";""762.8"";""763.4"";""0.6"";""79"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""100%."";"" "";"""";"""";""-11.5"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-13.7"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""83.0""",,,,,,
"""10.05.2023 05:00"";""-11.0"";""762.2"";""762.8"";""0.1"";""78"";""Штиль, безветрие"";""0"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-14.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""10.05.2023 02:00"";""-11.4"";""762.1"";""762.7"";""0.6"";""79"";""Ветер, дующий с запада"";""1"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-14.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""09.05.2023 23:00"";""-11.0"";""761.5"";""762.1"";""0.6"";""78"";""Штиль, безветрие"";""0"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-14.1"";"""";"""";"""";"""";"""";""""",,,,,,
