#,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"""Местное время на метеостанции им. М.В.Попова"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss""",,,,,,
"""02.05.2023 23:00"";""-0.7"";""743.0"";""743.5"";""-2.5"";""99"";""Ветер, дующий с юго-запада"";""10"";"""";""12"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.6"";""-0.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 20:00"";""-1.9"";""745.5"";""746.0"";""-5.0"";""99"";""Ветер, дующий с юга"";""7"";"""";""11"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";""-1.9"";""Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками."";""100%."";""200-300"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""3.9"";""-2.1"";""1.0"";""12"";"""";"""";"""";""""",,,,,,
"""02.05.2023 17:00"";""-4.7"";""750.5"";""751.0"";""-4.4"";""96"";""Ветер, дующий с юго-юго-востока"";""9"";""11"";""11"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.3"";""-5.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 14:00"";""-6.0"";""754.9"";""755.4"";""-3.5"";""91"";""Ветер, дующий с юга"";""8"";""10"";""12"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""60%."";""600-1000"";""Высокослоистые просвечивающие."";"""";""18.0"";""-7.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 11:00"";""-8.1"";""758.4"";""758.9"";""-3.1"";""88"";""Ветер, дующий с юго-юго-востока"";""9"";""10"";""11"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-слоистые, покрывающие все небо."";""19.0"";""-9.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 08:00"";""-9.8"";""761.5"";""762.1"";""-2.4"";""88"";""Ветер, дующий с юга"";""6"";"""";""10"";""70 – 80%."";"" "";"""";"""";""-11.3"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""-11.5"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""80.0""",,,,,,
"""02.05.2023 05:00"";""-10.7"";""763.9"";""764.5"";""-1.4"";""91"";""Ветер, дующий с юга"";""7"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-11.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""02.05.2023 02:00"";""-10.5"";""765.3"";""765.8"";""-0.8"";""94"";""Ветер, дующий с юго-юго-запада"";""6"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""70 – 80%."";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-11.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 23:00"";""-9.9"";""766.1"";""766.7"";""-0.5"";""93"";""Ветер, дующий с юго-юго-запада"";""6"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высокослоистые непросвечивающие или слоисто-дождевые."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""19.0"";""-10.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 20:00"";""-6.1"";""766.6"";""767.2"";""-1.2"";""93"";""Ветер, дующий с юго-юго-запада"";""7"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";""-2.3"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""19.0"";""-7.0"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""01.05.2023 17:00"";""-2.9"";""767.8"";""768.4"";""-0.8"";""85"";""Ветер, дующий с юго-запада"";""7"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""20.0"";""-5.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 14:00"";""-3.1"";""768.6"";""769.1"";""-0.3"";""82"";""Ветер, дующий с юго-запада"";""7"";"""";"""";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""18.0"";""-5.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 11:00"";""-6.1"";""768.9"";""769.5"";""-0.8"";""94"";""Ветер, дующий с юго-запада"";""5"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-6.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 08:00"";""-9.6"";""769.7"";""770.3"";""-1.0"";""93"";""Ветер, дующий с юго-запада"";""5"";"""";"""";""Облаков нет."";"" "";"""";"""";""-17.7"";"""";"""";"""";"""";"""";"""";""19.0"";""-10.6"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""80.0""",,,,,,
"""01.05.2023 05:00"";""-16.8"";""770.7"";""771.3"";""-0.4"";""88"";""Ветер, дующий с юго-юго-запада"";""2"";"""";"""";""Облаков нет."";""Дымка. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";"""";"""";"""";"""";"""";""7.0"";""-18.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""01.05.2023 02:00"";""-17.0"";""771.1"";""771.7"";""0.0"";""88"";""Ветер, дующий с юга"";""3"";"""";"""";""10%  или менее, но не 0"";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""0.3"";""-18.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 23:00"";""-17.0"";""771.1"";""771.7"";""-0.9"";""88"";""Ветер, дующий с юга"";""3"";"""";"""";""10%  или менее, но не 0"";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""0.3"";""-18.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 20:00"";""-10.4"";""772.0"";""772.6"";""-0.6"";""93"";""Ветер, дующий с юго-юго-запада"";""4"";"""";"""";""Облаков нет."";"" "";"""";"""";"""";""-4.4"";"""";"""";"""";"""";"""";""18.0"";""-11.3"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""30.04.2023 17:00"";""-6.4"";""772.6"";""773.2"";""0.1"";""90"";""Ветер, дующий с юго-юго-запада"";""2"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""19.0"";""-7.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 14:00"";""-6.0"";""772.5"";""773.1"";""0.0"";""89"";""Штиль, безветрие"";""0"";"""";"""";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""17.0"";""-7.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 11:00"";""-7.8"";""772.5"";""773.0"";""0.2"";""93"";""Ветер, дующий с севера"";""1"";"""";"""";""70 – 80%."";""Состояние неба в общем не изменилось. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""19.0"";""-8.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""30.04.2023 08:00"";""-10.6"";""772.3"";""772.9"";""-0.2"";""92"";""Ветер, дующий с севера"";""3"";"""";"""";""Облаков нет."";""Туман или ледяной туман. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";""-13.6"";"""";"""";"""";"""";"""";"""";""15.0"";""-11.7"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""79.0""",,,,,,
"""30.04.2023 05:00"";""-12.8"";""772.5"";""773.1"";""-0.2"";""91"";""Ветер, дующий с северо-северо-запада"";""3"";"""";"""";""10%  или менее, но не 0"";""Туман с отложением изморози, небо видно. "";""Туман или ледяной туман или сильная мгла."";""Облака покрывали половину неба или менее в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 4",°.,"""",.2,"""",14,"0"""
"""30.04.2023 02:00"";""-12.4"";""772.7"";""773.3"";""-0.2"";""91"";""Ветер, дующий с северо-запада"";""4"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""15.0"";""-13.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 23:00"";""-11.2"";""772.9"";""773.5"";""-0.3"";""92"";""Ветер, дующий с западо-северо-запада"";""2"";"""";"""";""10%  или менее, но не 0"";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонто", м,не, ч,м ,а ,5°
"""29.04.2023 20:00"";""-8.5"";""773.2"";""773.8"";""0.0"";""94"";""Ветер, дующий с северо-запада"";""3"";"""";"""";""60%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-7.8"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""12.0"";""-9.3"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""29.04.2023 17:00"";""-8.0"";""773.2"";""773.8"";""0.3"";""94"";""Ветер, дующий с севера"";""6"";"""";"""";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""2500 или более, или облаков нет."";""Высокослоистые просвечивающие."";"""";""15.0"";""-8.8"";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 14:00"";""-8.6"";""772.9"";""773.4"";""0.8"";""90"";""Ветер, дующий с севера"";""6"";"""";"""";""60%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизо",то, м,не, ч,м ,а 
"""29.04.2023 11:00"";""-9.9"";""772.1"";""772.7"";""0.4"";""89"";""Ветер, дующий с севера"";""8"";"""";""11"";""40%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-слоистые, не распространяющиеся по небу и не покрывающие его полностью."";""14.0"";""-11.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 08:00"";""-11.2"";""771.7"";""772.3"";""0.7"";""90"";""Ветер, дующий с севера"";""7"";"""";""11"";""10%  или менее, но не 0"";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Снег и/или другие виды твердых осадков"";""Метель"";""-11.3"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°."";""15.0"";""-12.5"";""0.2"";""12"";"""";"""";""Неровный слой ",ух,го,ра,сы,ча,ог
"""29.04.2023 05:00"";""-10.1"";""771.0"";""771.6"";""0.8"";""92"";""Ветер, дующий с северо-северо-востока"";""9"";""11"";""13"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.8"";""-11.2"";"""";"""";"""";"""";"""";""""",,,,,,
"""29.04.2023 02:00"";""-9.7"";""770.2"";""770.8"";""0.3"";""93"";""Ветер, дующий с северо-северо-востока"";""10"";""12"";""13"";""100%."";""Снег непрерывный сильный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.1"";""-10.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 23:00"";""-8.9"";""769.9"";""770.5"";""0.4"";""92"";""Ветер, дующий с северо-северо-востока"";""10"";""12"";""14"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""2.2"";""-10.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 20:00"";""-8.9"";""769.5"";""770.0"";""0.7"";""93"";""Ветер, дующий с северо-северо-востока"";""10"";""12"";""14"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";""-7.5"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""2.3"";""-9.9"";""0.2"";""12"";"""";"""";"""";""""",,,,,,
"""28.04.2023 17:00"";""-7.7"";""768.8"";""769.4"";""0.9"";""93"";""Ветер, дующий с северо-северо-востока"";""10"";""12"";""14"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""2.2"";""-8.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 14:00"";""-7.7"";""767.9"";""768.5"";""0.8"";""93"";""Ветер, дующий с северо-северо-востока"";""11"";""13"";""15"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""600-1000"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.3"";""-8.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 11:00"";""-7.8"";""767.1"";""767.7"";""0.7"";""92"";""Ветер, дующий с северо-северо-востока"";""10"";""13"";""15"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""1.2"";""-8.9"";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 08:00"";""-8.4"";""766.4"";""766.9"";""0.3"";""93"";""Ветер, дующий с северо-северо-востока"";""12"";""15"";""15"";""100%."";""Снег непрерывный умеренный в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";""-8.6"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""0.9"";""-9.4"";""Следы осадков"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""78.0""",,,,,,
"""28.04.2023 05:00"";""-7.8"";""766.1"";""766.7"";""0.7"";""91"";""Ветер, дующий с северо-востока"";""9"";""11"";""12"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""7.0"";""-9.0"";"""";"""";"""";"""";"""";""""",,,,,,
"""28.04.2023 02:00"";""-8.2"";""765.4"";""766.0"";""0.3"";""89"";""Ветер, дующий с северо-востока"";""9"";""11"";""12"";""100%."";""Снег с перерывами слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""8.0"";""-9.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 23:00"";""-7.6"";""765.1"";""765.7"";""0.0"";""92"";""Ветер, дующий с северо-востока"";""9"";""11"";""11"";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Метель"";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";""7.0"";""-8.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 20:00"";""-7.8"";""765.1"";""765.7"";""0.2"";""92"";""Ветер, дующий с северо-востока"";""8"";""10"";""11"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-5.2"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""13.0"";""-8.9"";""Осадков нет"";""12"";"""";"""";"""";""""",,,,,,
"""27.04.2023 17:00"";""-7.3"";""764.9"";""765.4"";""0.0"";""91"";""Ветер, дующий с северо-востока"";""7"";"""";""11"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-8.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 14:00"";""-7.3"";""764.9"";""765.4"";""0.7"";""91"";""Ветер, дующий с северо-востока"";""7"";"""";""11"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""19.0"";""-8.6"";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 11:00"";""-6.3"";""764.2"";""764.8"";""0.4"";""93"";""Ветер, дующий с северо-востока"";""9"";""10"";""10"";""100%."";""Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";""-7.1"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""12.0"";""-7.3"";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 08:00"";""-5.2"";""763.8"";""764.4"";""0.2"";""93"";""Ветер, дующий с северо-северо-востока"";""7"";"""";"""";""100%."";"" "";"""";"""";""-5.3"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми."";"""";""13.0"";""-6.2"";""Осадков нет"";""12"";"""";"""";""Неровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью."";""78.0""",,,,,,
"""27.04.2023 05:00"";""-4.3"";""763.6"";""764.2"";""0.3"";""97"";""Ветер, дующий с северо-востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""17.0"";""-4.7"";"""";"""";"""";"""";"""";""""",,,,,,
"""27.04.2023 02:00"";""-3.1"";""763.3"";""763.9"";""0.6"";""97"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""15.0"";""-3.5"";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 23:00"";""-2.9"";""762.7"";""763.3"";""0.6"";""99"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""100%."";""Дымка. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""6.0"";""-3.1"";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 20:00"";""-2.2"";""762.1"";""762.7"";""0.9"";""98"";""Ветер, дующий с востока"";""6"";"""";"""";""100%."";""Снег непрерывный слабый в срок наблюдения. "";""Снег и/или другие виды твердых осадков"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";""-1.0"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""100%."";""300-600"";""Высокослоистые непросвечивающие или слоисто-дождевые."";"""";"""";""-2.5"";""Следы осадков"";""12"";"""";"""";"""";""""",,,,,,
"""26.04.2023 17:00"";""-1.0"";""761.2"";""761.7"";""1.4"";""84"";""Ветер, дующий с востоко-юго-востока"";""5"";"""";""10"";""100%."";""Состояние неба в общем не изменилось. "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-3.4"";"""";"""";"""";"""";"""";""""",,,,,,
"""26.04.2023 14:00"";""-1.8"";""759.8"";""760.4"";""1.3"";""96"";""Ветер, дующий с востоко-юго-востока"";""7"";"""";""10"";""100%."";""Сильный поземок в целом низкий (ниже уровня глаз наблюдателя). "";""Метель"";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""12.0"";""-2.3"";"""";"""";"""";"""";"""";""""",,,,,,
