#
"""Местное время в Индиге"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss"""
"""11.05.2023 03:00"";""0.1"";""767.2"";""767.5"";""-0.9"";""79"";""Ветер, дующий с юга"";""6"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-3.1"";"""";"""";"""";"""";"""";"""""
"""11.05.2023 00:00"";""-2.9"";""768.1"";""768.4"";""-0.5"";""90"";""Ветер, дующий с юго-юго-востока"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-4.4"";"""";"""";"""";"""";"""";"""""
"""10.05.2023 21:00"";""-1.7"";""768.6"";""769.0"";""-0.2"";""90"";""Ветер, дующий с юго-востока"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-3.2"";"""";"""";"""";"""";"""";"""""
"""10.05.2023 18:00"";""0.4"";""768.8"";""769.2"";""-0.2"";""84"";""Ветер, дующий с севера"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";""0.4"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-2.1"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""10.05.2023 15:00"";""-0.1"";""769.0"";""769.4"";""0.4"";""79"";""Ветер, дующий с севера"";""2"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.3"";"""";"""";"""";"""";"""";"""""
"""10.05.2023 12:00"";""0.1"";""768.6"";""769.0"";""1.2"";""75"";""Ветер, дующий с северо-северо-запада"";""2"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.9"";"""";"""";"""";"""";"""";"""""
"""10.05.2023 09:00"";""-0.6"";""767.4"";""767.8"";""1.4"";""79"";""Ветер, дующий с северо-северо-востока"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.9"";"""";"""";"""";"""";"""";"""""
"""10.05.2023 06:00"";""-1.1"";""766.0"";""766.3"";""1.6"";""82"";""Ветер, дующий с севера"";""6"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";""-1.2"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.8"";""0.2"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы."";""11.0"""
"""10.05.2023 03:00"";""-0.4"";""764.4"";""764.8"";""1.6"";""78"";""Ветер, дующий с севера"";""6"";"""";"""";""70 – 80%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""70 – 80%."";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.9"";"""";"""";"""";"""";"""";"""""
"""10.05.2023 00:00"";""-0.5"";""762.8"";""763.2"";""1.4"";""94"";""Ветер, дующий с северо-северо-запада"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""10.0"";""-1.4"";"""";"""";"""";"""";"""";"""""
