#
"""Местное время в Индиге"";""T"";""Po"";""P"";""Pa"";""U"";""DD"";""Ff"";""ff10"";""ff3"";""N"";""WW"";""W1"";""W2"";""Tn"";""Tx"";""Cl"";""Nh"";""H"";""Cm"";""Ch"";""VV"";""Td"";""RRR"";""tR"";""E"";""Tg"";""E'"";""sss"""
"""03.05.2023 15:00"";""3.5"";""757.0"";""757.4"";""-1.9"";""80"";""Ветер, дующий с востоко-юго-востока"";""5"";"""";"""";""70 – 80%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""10%  или менее, но не 0"";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные."";""20.0"";""0.4"";"""";"""";"""";"""";"""
"""03.05.2023 12:00"";""1.7"";""758.9"";""759.3"";"""";""89"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""100%."";""Ливневый(ые) дождь(и). "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""0.1"";"""";"""";"""";"""";"""";"""""
"""03.05.2023 09:00"";""1.8"";""759.5"";""759.9"";""0.0"";""85"";""Ветер, дующий с востока"";""4"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-0.5"";"""";"""";"""";"""";"""";"""""
"""03.05.2023 06:00"";""1.8"";""759.5"";""759.9"";""-0.8"";""85"";""Ветер, дующий с востока"";""4"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-0.5"";"""";"""";"""";"""";"""";"""""
"""03.05.2023 03:00"";""1.0"";""760.3"";""760.6"";""-0.1"";""87"";""Ветер, дующий с юго-юго-запада"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.0"";"""";"""";"""";"""";"""";"""""
"""03.05.2023 00:00"";""-0.3"";""760.4"";""760.8"";""0.6"";""88"";""Ветер, дующий с юго-юго-запада"";""6"";"""";""12"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.0"";"""";"""";"""";"""";"""";"""""
"""02.05.2023 21:00"";""0.8"";""759.8"";""760.2"";""1.6"";""89"";""Ветер, дующий с западо-юго-запада"";""8"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-0.9"";"""";"""";"""";"""";"""";"""""
"""02.05.2023 18:00"";""1.4"";""758.2"";""758.6"";""2.1"";""91"";""Ветер, дующий с западо-юго-запада"";""12"";""15"";""17"";""60%."";"" "";"""";"""";"""";""1.5"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""50%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""0.0"";""0.3"";""12"";"""";"""";"""";"""""
"""02.05.2023 15:00"";""1.2"";""756.1"";""756.4"";""3.6"";""94"";""Ветер, дующий с западо-юго-запада"";""13"";""16"";""19"";""50%."";""Облака в целом рассеиваются или становятся менее развитыми. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""40%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""19.0"";""0.3"";"""";"""";"""";"""";"""";"""""
"""02.05.2023 12:00"";""0.8"";""752.5"";""752.8"";""1.9"";""97"";""Ветер, дующий с западо-юго-запада"";""15"";""18"";""20"";""100%."";""Ливневый снег или ливневый дождь и снег. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""19.0"";""0.4"";"""";"""";"""";"""";"""";"""""
"""02.05.2023 09:00"";""0.7"";""750.6"";""751.0"";""0.4"";""97"";""Ветер, дующий с юго-запада"";""11"";""13"";""17"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Морось."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""16.0"";""0.3"";"""";"""";"""";"""";"""";"""""
"""02.05.2023 06:00"";""0.4"";""750.2"";""750.6"";""-0.5"";""97"";""Ветер, дующий с юго-запада"";""9"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Морось."";""Облака покрывали более половины неба в течение всего соответствующего периода."";""0.4"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""16.0"";""0.0"";""2.0"";""12"";"""";"""";""Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью."";""23.0"""
"""02.05.2023 03:00"";""1.0"";""750.7"";""751.0"";""-1.0"";""97"";""Ветер, дующий с юго-юго-запада"";""7"";"""";"""";""100%."";""Морось незамерзающая непрерывная слабая в срок наблюдения. "";""Ливень (ливни)."";""Морось."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""4.6"";""0.6"";"""";"""";"""";"""";"""";"""""
"""02.05.2023 00:00"";""1.2"";""751.7"";""752.1"";""-2.9"";""96"";""Ветер, дующий с юго-юго-востока"";""5"";"""";"""";""100%."";""Состояние неба в общем не изменилось. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""20.0"";""0.6"";"""";"""";"""";"""";"""";"""""
"""01.05.2023 21:00"";""1.0"";""754.6"";""754.9"";""-2.7"";""95"";""Ветер, дующий с юго-востока"";""5"";"""";""10"";""100%."";""Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. "";""Ливень (ливни)."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""100%."";""300-600"";"""";"""";""16.0"";""0.3"";"""";"""";"""";"""";"""";"""""
"""01.05.2023 18:00"";""2.1"";""757.3"";""757.7"";""-2.4"";""83"";""Ветер, дующий с юго-востока"";""5"";"""";""10"";""100%."";"" "";"""";"""";"""";""3.2"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""300-600"";"""";"""";""20.0"";""-0.6"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""01.05.2023 15:00"";""3.0"";""759.7"";""760.0"";""-2.3"";""76"";""Ветер, дующий с юго-востока"";""6"";"""";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-0.8"";"""";"""";"""";"""";"""";"""""
"""01.05.2023 12:00"";""2.4"";""762.0"";""762.4"";""-2.3"";""77"";""Ветер, дующий с юго-востока"";""7"";""11"";""12"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них."";""20.0"";""-1.3"";"""";"""";"""";"""";"""";"""""
"""01.05.2023 09:00"";""1.1"";""764.3"";""764.7"";""-2.0"";""80"";""Ветер, дующий с юго-юго-востока"";""9"";""12"";""12"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-2.0"";"""";"""";"""";"""";"""";"""""
"""01.05.2023 06:00"";""-2.3"";""766.3"";""766.6"";""-1.3"";""89"";""Ветер, дующий с юго-юго-востока"";""5"";"""";"""";""70 – 80%."";"" "";"""";"""";""-5.9"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-3.9"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""29.0"""
"""01.05.2023 03:00"";""-5.0"";""767.6"";""768.0"";""-0.3"";""89"";""Ветер, дующий с юго-востока"";""5"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.5"";"""";"""";"""";"""";"""";"""""
"""01.05.2023 00:00"";""-1.3"";""767.9"";""768.3"";""0.0"";""86"";""Ветер, дующий с юго-юго-востока"";""5"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.4"";"""";"""";"""";"""";"""";"""""
"""30.04.2023 21:00"";""0.2"";""767.9"";""768.3"";""-0.2"";""86"";""Ветер, дующий с юго-юго-востока"";""3"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.9"";"""";"""";"""";"""";"""";"""""
"""30.04.2023 18:00"";""1.5"";""768.1"";""768.4"";""0.0"";""80"";""Ветер, дующий с юга"";""4"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""2.0"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""70 – 80%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.6"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""30.04.2023 15:00"";""1.2"";""768.1"";""768.5"";""0.3"";""68"";""Ветер, дующий с юго-востока"";""7"";"""";""13"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""50%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.1"";"""";"""";"""";"""";"""";"""""
"""30.04.2023 12:00"";""-1.8"";""767.8"";""768.1"";""-0.4"";""77"";""Ветер, дующий с востоко-юго-востока"";""8"";""10"";""13"";""70 – 80%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""40%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-5.3"";"""";"""";"""";"""";"""";"""""
"""30.04.2023 09:00"";""-4.5"";""768.2"";""768.6"";""-0.8"";""79"";""Ветер, дующий с востоко-юго-востока"";""9"";""12"";""13"";""50%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-7.7"";"""";"""";"""";"""";"""";"""""
"""30.04.2023 06:00"";""-7.6"";""769.0"";""769.3"";""-0.1"";""85"";""Ветер, дующий с востоко-юго-востока"";""8"";""10"";""10"";""20–30%."";"" "";"""";"""";""-8.6"";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""10%  или менее, но не 0"";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-9.7"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""29.0"""
"""30.04.2023 03:00"";""-8.4"";""769.1"";""769.5"";""-0.5"";""88"";""Ветер, дующий с востоко-юго-востока"";""7"";"""";""11"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""20–30%."";""2500 или более, или облаков нет."";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-10.0"";"""";"""";"""";"""";"""";"""""
"""30.04.2023 00:00"";""-7.2"";""769.6"";""770.0"";""0.0"";""89"";""Ветер, дующий с востоко-юго-востока"";""9"";""11"";""13"";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""20.0"";""-8.7"";"""";"""";"""";"""";"""";"""""
"""29.04.2023 21:00"";""-5.8"";""769.6"";""770.0"";""-0.6"";""91"";""Ветер, дующий с востока"";""11"";""13"";""15"";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-7.1"";"""";"""";"""";"""";"""";"""""
"""29.04.2023 18:00"";""-3.4"";""770.2"";""770.6"";""-1.6"";""85"";""Ветер, дующий с востока"";""12"";""14"";""15"";""40%."";"" "";"""";"""";"""";""-2.8"";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""18.0"";""-5.6"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""29.04.2023 15:00"";""-2.9"";""771.8"";""772.2"";""-0.7"";""82"";""Ветер, дующий с востока"";""10"";""13"";""13"";""60%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""10%  или менее, но не 0"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба."";""20.0"";""-5.5"";"""";"""";"""";"""";"""";"""""
"""29.04.2023 12:00"";""-3.8"";""772.5"";""772.9"";""-0.4"";""83"";""Ветер, дующий с востока"";""9"";""12"";""13"";""40%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.3"";"""";"""";"""";"""";"""";"""""
"""29.04.2023 09:00"";""-4.6"";""772.9"";""773.2"";""-0.1"";""83"";""Ветер, дующий с востоко-юго-востока"";""9"";""11"";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-7.1"";"""";"""";"""";"""";"""";"""""
"""29.04.2023 06:00"";""-5.6"";""773.0"";""773.4"";""0.1"";""86"";""Ветер, дующий с востоко-юго-востока"";""8"";""10"";""10"";""100%."";"" "";"""";"""";""-5.8"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-7.6"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""30.0"""
"""29.04.2023 03:00"";""-5.6"";""772.9"";""773.2"";""0.8"";""87"";""Ветер, дующий с востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-7.4"";"""";"""";"""";"""";"""";"""""
"""29.04.2023 00:00"";""-4.7"";""772.1"";""772.5"";""0.1"";""85"";""Ветер, дующий с востока"";""5"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-6.9"";"""";"""";"""";"""";"""";"""""
"""28.04.2023 21:00"";""-4.2"";""772.0"";""772.3"";""0.3"";""84"";""Ветер, дующий с востоко-северо-востока"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-6.5"";"""";"""";"""";"""";"""";"""""
"""28.04.2023 18:00"";""-3.1"";""771.7"";""772.0"";""0.0"";""82"";""Ветер, дующий с востоко-северо-востока"";""5"";"""";"""";""90  или более, но не 100%"";"" "";"""";"""";"""";""-0.6"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-5.8"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""28.04.2023 15:00"";""-1.8"";""771.7"";""772.1"";""0.6"";""72"";""Ветер, дующий с востоко-северо-востока"";""4"";"""";"""";""20–30%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся из кучевых."";""20–30%."";""600-1000"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-6.2"";"""";"""";"""";"""";"""";"""""
"""28.04.2023 12:00"";""-1.3"";""771.1"";""771.5"";""0.5"";""83"";""Ветер, дующий с северо-востока"";""6"";"""";"""";""70 – 80%."";"" "";"""";"""";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""50%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные."";""20.0"";""-3.9"";"""";"""";"""";"""";"""";"""""
"""28.04.2023 09:00"";""-1.2"";""770.6"";""771.0"";""0.1"";""86"";""Ветер, дующий с запада"";""4"";"""";"""";""90  или более, но не 100%"";""Ливневый снег или ливневый дождь и снег. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""90  или более, но не 100%"";""300-600"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-3.2"";"""";"""";"""";"""";"""";"""""
"""28.04.2023 06:00"";""-2.5"";""770.5"";""770.9"";""0.2"";""90"";""Ветер, дующий с западо-северо-запада"";""2"";"""";"""";""100%."";"" "";"""";"""";""-2.9"";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-3.9"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""30.0"""
"""28.04.2023 03:00"";""-2.9"";""770.3"";""770.7"";""0.4"";""84"";""Штиль, безветрие"";""0"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-5.3"";"""";"""";"""";"""";"""";"""""
"""28.04.2023 00:00"";""-2.7"";""769.9"";""770.2"";""0.6"";""84"";""Ветер, дующий с северо-северо-востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-5.1"";"""";"""";"""";"""";"""";"""""
"""27.04.2023 21:00"";""-2.3"";""769.3"";""769.7"";""0.7"";""84"";""Ветер, дующий с северо-востока"";""3"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.6"";"""";"""";"""";"""";"""";"""""
"""27.04.2023 18:00"";""-1.9"";""768.6"";""769.0"";""1.3"";""83"";""Ветер, дующий с северо-востока"";""6"";"""";"""";""100%."";"" "";"""";"""";"""";""-1.2"";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.5"";""Осадков нет"";""12"";"""";"""";"""";"""""
"""27.04.2023 15:00"";""-1.5"";""767.3"";""767.7"";""1.3"";""80"";""Ветер, дующий с востоко-северо-востока"";""6"";"""";""11"";""90  или более, но не 100%"";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""90  или более, но не 100%"";""600-1000"";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-4.6"";"""";"""";"""";"""";"""";"""""
"""27.04.2023 12:00"";""-1.6"";""766.0"";""766.3"";""1.5"";""83"";""Ветер, дующий с северо-северо-востока"";""7"";"""";""11"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-4.2"";"""";"""";"""";"""";"""";"""""
"""27.04.2023 09:00"";""-1.8"";""764.5"";""764.9"";""1.6"";""78"";""Ветер, дующий с северо-востока"";""8"";"""";""11"";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""20.0"";""-5.1"";"""";"""";"""";"""";"""";"""""
"""27.04.2023 06:00"";""-1.7"";""762.9"";""763.3"";""0.8"";""86"";""Ветер, дующий с северо-северо-востока"";""6"";"""";""11"";""100%."";"" "";"""";"""";""-5.4"";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""20.0"";""-3.8"";""Осадков нет"";""12"";"""";"""";""Неровный слой слежавшегося или мокрого снега покрывает почву полностью."";""30.0"""
"""27.04.2023 03:00"";""-4.2"";""762.1"";""762.4"";""1.0"";""94"";""Ветер, дующий с севера"";""3"";"""";"""";""10%  или менее, но не 0"";"" "";"""";"""";"""";"""";""Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет."";""Облаков нет."";""2500 или более, или облаков нет."";""Высококучевых, высокослоистых или слоисто-дождевых облаков нет."";""Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу."";""17.0"";""-5.1"";"""";"""";"""";"""";"""";"""""
"""27.04.2023 00:00"";""-0.5"";""761.1"";""761.5"";""0.0"";""96"";""Ветер, дующий с северо-северо-запада"";""4"";"""";"""";""100%."";""Дымка. "";""Облака покрывали более половины неба в течение всего соответствующего периода."";""Облака покрывали более половины неба в течение всего соответствующего периода."";"""";"""";""Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды."";""100%."";""300-600"";"""";"""";""6.0"";""-1.0"";"""";"""";"""";"""";"""";"""""
"""26.04.2023 21:00"";""-0.4"";""761.1"";""761.5"";""-0.4"";""96"";""Ветер, дующий с запада"";""4"";"""";"""";""100%."";"" "";"""";"""";"""";"""";""Слоисто-кучевые, образовавшиеся не из кучевых."";""100%."";""600-1000"";"""";"""";""17.0"";""-1.0"";"""";"""";"""";"""";"""";"""""
"""26.04.2023 18:00"";""-0.7"";""761.5"";""761.8"";""-0.6"";""92"";""Ветер, дующий с западо-юго-запада"";""5"";"""";"""";""40%."";"" "";"""";"""";"""";""0.1"";""Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них."";""20–30%."";""300-600"";""Высококучевые просвечивающие, расположенные на одном уровне."";""Перистых, перисто-кучевых или перисто-слоистых нет."";""20.0"";""-1.9"";""Осадков нет"";""12"";"""";"""";"""";"""""
